respondent_id,dna_segment,age_group,city_tier,gender,occupation,monthly_income_midpoint,openness_score,conscientiousness_score,extraversion_score,agreeableness_score,neuroticism_score,stress_score,pss_control,pss_overwhelm,pss_confidence_r,pss_irritation_r,life_stage,current_mood,reader_identity,personalization_importance,books_per_month,reads_morning,reads_commute,reads_afternoon,reads_evening,reads_latenight,reads_weekend,reading_motivation,genre_fantasy,genre_selfhelp,genre_literary,genre_romance,genre_thriller,genre_biography,genre_business,genre_regional,genre_comics,genre_poetry,discovery_social,discovery_friends,discovery_bestsellers,discovery_apps,discovery_bookstore,discovery_youtube,discovery_syllabus,social_sharing_level,format_preference,interest_books,interest_journal,interest_bookmark,interest_candle,interest_tote,interest_apparel,interest_decor,interest_annotation,interest_pin,subscription_interest,eco_importance,gifting_behaviour,barrier_price,barrier_quality,barrier_trust,barrier_delivery,barrier_privacy,barrier_platform,trust_driver,discount_preference,psm_too_cheap,psm_bargain,psm_expensive_ok,psm_too_expensive,monthly_book_spend,lifestyle_spend,max_single_spend,shops_amazon,shops_flipkart,shops_d2c,shops_instagram,shops_whatsapp,shops_qcommerce,shops_offline,payment_method,impulse_buying,nps_proxy,switching_tendency,platform_interest,share_intent,reading_habit_status,purchase_intent,will_buy,format_class,data_quality_flag
BDNA0011,Midnight Escapist,4,2,2,3,2500,4,3,3,3,5,11,2,3,3,3,1,2,2,5,5.0,0,0,0,0,1,0,4,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,1,0,0,1,1,0,0,0,3,3,2,0,0,0,1,0,1,2,2,185,361.0,676,776,350,2250,1500,0,1,0,1,0,0,0,1,3,4,3,2,1,3,1,1,1,clean
BDNA0012,Non-Reader,4,3,1,1,10000,3,3,3,4,4,4,0,1,1,1,3,6,2,2,1.0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,4,3,3,1,0,0,0,0,1,4,1,133,305.0,615,715,0,1000,1500,1,1,0,1,0,0,0,1,4,3,1,4,4,4,3,0,1,clean
BDNA0013,Curious Explorer,4,1,1,4,22500,4,2,5,3,4,8,2,2,1,2,3,4,4,4,2.5,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,2,0,1,0,0,0,1,1,1,1,2,2,2,0,1,0,0,0,0,2,2,275,473.0,733,1034,1500,7500,350,1,0,0,0,1,0,0,1,3,8,3,3,3,3,2,1,1,clean
BDNA0014,Midnight Escapist,4,1,2,1,22500,3,2,2,4,5,8,2,2,1,2,2,3,1,4,1.0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,3,1,1,1,1,0,1,0,1,0,0,2,3,4,0,0,0,0,0,0,2,1,191,435.0,841,975,1500,1000,150,0,1,0,0,1,0,1,1,2,10,4,2,2,1,2,1,1,clean
BDNA0015,Midnight Escapist,3,1,1,2,22500,4,3,2,5,4,14,4,4,4,4,2,1,3,5,1.0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,3,1,0,0,0,1,0,1,0,0,1,1,2,1,0,1,0,0,0,0,1,1,193,556.0,1060,1265,100,250,1500,1,0,1,0,0,0,0,1,2,8,1,2,1,1,5,0,1,clean
BDNA0016,Midnight Escapist,3,3,2,4,120000,3,2,2,4,4,11,3,3,2,3,4,1,4,5,2.5,0,0,0,0,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,1,0,1,1,0,0,0,1,1,1,4,4,1,0,0,0,0,1,1,4,683,1404.0,2358,3439,1500,2250,350,1,1,0,1,0,0,0,1,2,7,2,4,4,3,1,1,1,clean
BDNA0017,Productivity Achiever,6,4,1,3,22500,4,5,4,3,2,5,1,1,1,1,2,2,2,4,1.0,1,0,0,0,0,1,4,0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,0,0,2,3,0,1,0,0,1,0,0,1,1,1,2,1,0,0,0,0,0,0,3,5,173,544.0,847,1561,750,2250,1500,1,0,0,0,0,0,1,1,3,10,2,3,2,2,2,1,2,clean
BDNA0018,Emotional Reader,5,1,2,2,10000,5,3,2,4,4,5,1,2,1,1,4,5,5,4,1.0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,2,2,1,1,0,0,1,0,1,1,1,2,3,1,0,0,0,0,1,1,3,2,213,437.0,716,985,100,250,750,1,0,1,1,0,0,0,2,3,6,1,3,3,4,2,1,1,clean
BDNA0019,Productivity Achiever,2,1,2,3,45000,3,4,4,3,3,3,0,1,1,1,3,2,6,5,8.0,1,1,1,0,0,0,4,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,4,3,0,0,0,1,1,1,0,1,0,2,3,1,1,1,0,0,0,1,4,4,438,983.0,1436,2476,350,1000,350,1,0,1,0,0,0,0,2,2,8,1,2,1,4,3,0,2,clean
BDNA0020,Midnight Escapist,2,3,2,1,120000,3,4,3,4,4,8,2,2,1,2,5,6,1,4,8.0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,4,3,1,1,1,0,1,0,0,0,1,1,1,2,1,0,0,0,0,1,2,1,607,1328.0,2132,3220,350,2250,350,0,0,0,1,0,1,0,1,3,10,1,2,1,1,3,0,2,clean
BDNA0021,Emotional Reader,2,2,1,5,22500,4,4,3,4,4,11,3,2,4,3,3,4,5,4,2.5,0,0,0,0,1,0,3,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,2,1,0,1,0,0,0,1,0,1,0,1,2,1,1,1,0,0,0,1,2,1,229,660.0,1123,1527,750,4500,350,1,1,0,0,1,0,1,3,2,7,2,2,5,2,1,1,1,clean
BDNA0022,Midnight Escapist,4,2,2,2,120000,3,3,2,4,5,9,2,2,2,3,1,1,4,4,1.0,0,0,0,1,1,1,2,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,2,1,1,0,0,1,0,1,1,0,0,1,1,3,1,0,1,0,0,0,3,3,207,367.0,833,7413,350,2250,3500,1,0,1,0,0,0,0,2,3,6,1,3,1,1,5,0,1,outlier_spend
BDNA0023,Midnight Escapist,4,4,1,3,10000,4,3,1,5,5,9,3,2,3,2,4,1,1,4,5.0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,2,1,1,1,0,1,1,0,1,0,0,2,3,3,0,1,1,0,0,0,3,3,291,492.0,687,885,100,250,1500,0,0,1,0,0,0,1,1,3,6,1,1,2,4,4,0,1,clean
BDNA0024,Productivity Achiever,4,2,1,3,22500,4,3,4,3,2,5,1,2,0,2,3,2,2,4,5.0,0,1,1,0,1,0,3,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,3,1,1,1,0,0,1,0,0,1,0,4,2,3,0,0,0,0,0,0,2,4,270,620.0,1073,1757,350,7500,150,1,1,0,0,0,0,0,3,1,5,4,1,1,2,5,0,1,clean
BDNA0025,Productivity Achiever,4,1,1,3,10000,2,4,3,3,2,8,3,1,3,2,1,4,6,4,1.0,1,0,0,0,0,1,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,3,1,1,0,1,0,0,0,0,1,0,3,3,1,0,1,0,0,1,0,1,3,473,701.0,1209,1710,750,4500,2500,1,0,1,0,0,1,0,2,3,6,2,4,2,1,2,1,1,clean
BDNA0026,Curious Explorer,2,4,2,2,10000,4,5,5,4,4,7,2,2,2,3,2,4,4,5,1.0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,2,5,1,1,1,1,1,1,1,0,0,3,2,2,1,1,1,0,0,0,6,3,70,,838,1259,350,2250,350,1,1,1,1,0,0,0,1,1,7,1,1,3,3,2,1,3,missing_psm
BDNA0027,Midnight Escapist,3,4,1,2,10000,3,2,2,4,3,7,1,2,1,3,3,4,4,4,2.5,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,3,2,1,0,1,1,0,0,1,0,0,2,3,2,1,1,0,0,0,0,1,2,327,595.0,890,1437,1500,1000,350,1,0,0,0,0,0,1,1,2,8,4,2,3,2,3,0,1,clean
BDNA0028,Productivity Achiever,6,2,1,2,10000,4,4,2,4,3,10,2,3,2,2,3,4,1,3,5.0,0,0,0,1,1,0,2,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,3,4,1,1,1,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,3,4,299,563.0,774,1256,100,4500,2500,1,0,0,0,0,0,0,1,3,5,1,1,2,3,4,0,3,clean
BDNA0029,Emotional Reader,3,4,2,3,10000,4,3,2,5,5,8,1,2,2,2,7,1,6,5,5.0,0,0,0,0,1,0,5,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,2,3,0,0,1,0,0,0,1,0,0,2,2,2,0,1,0,0,0,0,2,1,214,474.0,755,1128,350,1000,750,1,0,0,0,1,0,1,1,3,9,2,2,4,1,3,0,2,clean
BDNA0030,Midnight Escapist,4,2,2,2,22500,4,1,3,4,4,9,2,2,2,2,1,1,4,5,8.0,0,1,0,1,1,0,3,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,3,2,0,0,1,1,0,0,1,0,1,2,3,2,1,0,1,0,0,0,1,1,189,358.0,408,674,750,4500,350,1,1,0,1,0,0,0,1,2,8,2,1,1,4,1,1,1,clean
BDNA0031,Emotional Reader,5,2,1,5,10000,3,3,1,5,3,6,1,1,2,0,2,4,2,4,5.0,0,0,1,0,1,1,3,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,4,2,0,0,1,0,0,0,4,3,108,373.0,755,855,350,4500,150,1,0,0,0,1,0,0,1,3,4,2,1,1,1,1,1,1,clean
BDNA0032,Midnight Escapist,6,1,2,1,10000,3,3,4,4,5,7,2,1,1,1,7,3,2,5,8.0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,1,1,1,0,1,0,1,0,1,0,2,1,2,1,0,0,1,0,0,5,2,210,475.0,969,1173,100,2250,150,1,1,1,0,0,0,0,1,3,6,2,3,3,5,2,1,1,clean
BDNA0033,Midnight Escapist,3,3,1,4,2500,4,2,1,5,5,10,3,2,3,2,5,1,1,5,2.5,0,1,0,1,1,0,4,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,2,4,1,0,0,1,1,0,0,0,0,1,3,1,0,1,1,0,0,0,1,2,189,347.0,553,833,100,2250,150,1,1,0,1,0,0,0,1,3,7,2,1,2,2,1,1,3,clean
BDNA0034,Non-Reader,3,4,1,2,22500,3,2,3,3,2,4,1,1,1,2,4,3,4,1,0.0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,1,0,0,0,0,4,4,3,0,0,0,0,0,1,2,1,186,375.0,499,1058,0,2250,150,1,0,1,0,0,0,0,1,1,3,4,4,4,1,2,1,1,clean
BDNA0035,Non-Reader,4,4,2,1,22500,2,3,3,3,3,6,2,1,1,1,5,5,6,3,1.0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,1,0,0,1,0,0,0,0,0,4,2,3,1,0,0,1,0,0,3,3,240,150.0,295,560,350,1000,150,1,0,0,1,0,0,1,1,3,5,2,5,4,2,5,0,2,psm_inversion
BDNA0036,Curious Explorer,3,1,2,4,10000,4,3,4,4,2,2,0,0,0,0,7,4,2,5,5.0,0,0,0,1,1,0,2,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,3,5,0,0,1,1,0,1,0,1,1,1,3,2,1,1,0,0,0,0,1,2,78,423.0,702,1098,0,1000,350,0,0,0,1,0,0,0,1,4,8,1,2,2,2,5,0,3,clean
BDNA0037,Productivity Achiever,5,1,2,2,22500,3,3,3,4,3,9,3,2,2,2,3,2,1,4,2.5,0,0,0,1,0,0,2,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,2,0,1,1,0,1,0,0,1,1,1,1,2,0,0,0,0,1,0,1,4,280,733.0,1277,1738,350,1000,2500,1,1,1,0,0,1,0,1,4,6,3,1,2,1,5,0,1,clean
BDNA0038,Midnight Escapist,6,4,1,1,10000,2,3,1,4,4,10,3,2,3,3,1,2,1,4,5.0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,3,1,1,1,1,1,1,1,0,0,0,1,3,2,0,0,1,0,0,0,3,2,162,357.0,521,890,350,1000,350,1,0,0,1,1,1,0,1,1,7,2,3,4,2,1,1,1,clean
BDNA0039,Emotional Reader,3,1,1,2,10000,4,3,4,5,3,9,2,3,2,3,7,3,3,5,5.0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,1,3,5,1,1,1,0,0,0,1,1,1,2,3,3,0,0,0,1,0,0,2,2,235,481.0,635,1122,350,2250,150,0,0,1,1,0,1,0,4,3,9,1,2,3,1,1,1,3,clean
BDNA0040,Productivity Achiever,5,2,2,3,45000,4,4,2,4,3,6,2,2,2,2,4,5,1,4,5.0,0,1,0,1,0,1,2,1,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,2,2,1,0,1,0,1,0,0,0,0,3,3,2,1,0,0,0,0,0,2,2,347,895.0,1435,2199,100,4500,350,1,1,0,0,0,0,0,3,4,9,1,1,2,4,2,1,1,clean
BDNA0041,Midnight Escapist,5,5,1,3,22500,2,3,2,4,4,11,4,2,2,2,1,4,5,4,2.5,1,1,0,0,0,1,3,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,3,2,0,0,1,0,1,0,0,1,1,2,2,2,1,0,0,0,0,1,6,4,246,593.0,961,1532,350,4500,350,0,0,1,1,0,1,0,1,2,7,3,2,3,2,4,0,1,clean
BDNA0042,Productivity Achiever,4,2,2,3,10000,4,4,4,3,2,6,0,2,1,2,3,2,1,4,2.5,0,0,0,1,0,0,2,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2,4,1,1,1,0,1,0,0,0,0,3,3,4,1,0,1,0,0,0,2,1,299,687.0,1069,1898,750,1000,2500,1,1,0,1,0,1,0,1,4,8,2,2,4,1,2,1,3,clean
BDNA0043,Midnight Escapist,3,5,1,3,22500,2,2,2,3,3,8,2,2,2,2,3,1,3,3,5.0,0,0,0,1,0,0,5,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,1,1,1,1,0,0,0,1,0,0,1,2,2,0,0,1,0,0,0,3,1,297,659.0,1142,1610,100,4500,1500,0,0,0,0,1,0,0,1,2,9,3,1,1,1,3,0,1,clean
BDNA0044,Non-Reader,3,4,1,3,10000,2,2,4,2,3,6,2,1,2,1,5,5,2,2,1.0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,1,0,0,0,0,0,0,0,0,2,2,2,0,1,0,1,0,0,3,3,92,312.0,545,711,0,1000,150,0,1,0,0,1,0,0,4,4,3,3,3,5,4,5,0,1,clean
BDNA0045,Midnight Escapist,3,3,1,1,2500,3,4,2,3,4,7,2,3,2,1,6,3,4,2,1.0,0,0,1,0,1,0,5,1,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,2,5,1,1,1,1,1,0,1,0,0,1,2,3,1,1,0,1,0,0,1,1,118,205.0,258,672,1500,2250,150,1,0,1,1,0,0,0,2,3,6,2,1,2,1,2,1,3,clean
BDNA0046,Emotional Reader,3,3,2,2,10000,3,2,3,5,4,7,1,2,1,1,4,6,3,5,1.0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,2,1,0,1,0,0,0,0,1,1,0,2,3,2,1,0,0,0,0,0,5,1,290,479.0,869,1295,100,2250,1500,1,0,0,1,0,0,0,4,2,8,1,3,2,3,2,1,1,clean
BDNA0047,Productivity Achiever,4,3,1,3,22500,4,3,3,4,4,7,1,1,2,2,3,3,1,4,2.5,1,1,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,4,5,1,0,1,0,1,0,0,0,0,3,2,2,0,1,0,0,0,0,2,3,364,745.0,1328,1864,1500,1000,150,0,0,0,0,0,0,1,1,3,10,2,3,2,2,1,1,3,clean
BDNA0048,Emotional Reader,4,3,2,6,10000,3,2,3,5,3,9,2,2,2,2,4,6,1,3,2.5,0,0,1,1,0,0,5,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,1,1,0,1,0,0,0,0,2,3,1,0,0,0,0,0,0,4,2,181,450.0,831,931,1500,1000,1500,1,0,1,0,0,0,0,2,3,8,1,2,1,2,2,1,1,clean
BDNA0049,Emotional Reader,4,1,1,2,80000,3,2,3,5,3,4,1,1,1,1,2,3,1,4,5.0,0,1,0,0,0,0,2,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,3,1,1,1,0,0,0,0,1,0,0,2,1,2,0,1,0,0,0,0,1,4,375,953.0,1712,2138,350,1000,350,0,0,0,0,0,1,1,4,2,7,4,1,2,2,4,0,1,clean
BDNA0050,Midnight Escapist,6,3,1,3,10000,2,2,2,4,4,6,1,2,1,1,1,1,5,5,2.5,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,3,3,1,1,0,1,1,0,1,0,1,2,3,3,1,0,0,0,0,0,1,2,234,465.0,670,1035,100,2250,350,1,1,0,0,0,0,0,4,2,9,3,1,1,1,3,0,2,clean
BDNA0051,Non-Reader,3,1,1,5,22500,3,2,4,3,3,4,2,0,1,0,1,5,4,3,1.0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,2,0,1,0,0,0,0,0,0,0,3,4,2,0,0,1,1,0,1,1,3,141,323.0,646,746,100,250,150,1,0,0,0,0,0,0,1,3,3,4,5,5,2,5,0,1,clean
BDNA0052,Curious Explorer,3,1,2,2,2500,4,2,4,3,4,5,0,0,1,2,6,5,5,5,2.5,0,1,0,1,0,1,6,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,2,2,2,0,0,0,1,0,0,5,1,92,408.0,540,652,350,250,150,0,0,0,1,0,0,0,4,1,8,4,5,1,2,2,1,1,clean
BDNA0053,Non-Reader,4,1,2,6,22500,3,2,4,3,2,4,1,1,1,1,2,3,6,2,0.0,0,0,0,0,0,0,6,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,0,4,4,3,0,0,0,0,1,0,1,6,30,321.0,502,768,0,2250,750,0,1,0,0,1,0,0,1,4,3,2,1,5,3,4,0,1,clean
BDNA0054,Non-Reader,5,4,3,3,10000,4,3,3,3,2,4,2,1,2,1,1,3,6,1,0.0,0,0,0,1,0,0,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,2,0,0,1,0,0,0,0,0,0,4,4,3,1,1,0,0,0,0,6,4,261,247.0,301,539,100,250,350,0,0,0,0,0,0,0,3,4,1,1,5,4,5,1,1,1,clean
BDNA0055,Emotional Reader,3,2,2,3,80000,2,1,3,4,3,7,3,2,2,2,4,1,3,4,2.5,0,0,1,0,1,0,3,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,2,2,0,1,1,0,1,1,0,0,1,2,2,3,0,0,1,0,0,0,1,4,487,970.0,1615,2342,1500,2250,350,1,1,0,0,0,0,0,1,2,10,3,2,3,1,4,0,1,clean
BDNA0056,Non-Reader,3,4,1,5,22500,2,2,3,4,2,4,1,1,1,0,3,4,6,4,0.0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,4,2,3,0,1,0,1,0,0,3,4,106,258.0,432,532,0,1000,350,0,0,0,0,0,0,0,4,3,3,2,2,4,3,4,0,2,clean
BDNA0057,Midnight Escapist,4,4,2,2,22500,2,3,3,4,4,11,3,3,3,3,6,1,2,4,2.5,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,4,2,1,1,0,0,0,1,1,0,1,1,2,1,1,1,0,1,0,0,1,4,122,527.0,895,1176,2500,250,750,1,0,1,0,0,0,1,1,2,8,1,2,1,4,4,0,1,clean
BDNA0058,Midnight Escapist,3,2,1,1,2500,2,3,4,4,5,10,3,2,3,2,4,6,1,2,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,2,1,1,1,0,0,0,1,1,0,2,2,1,0,1,0,0,0,1,1,5,162,251.0,432,539,350,2250,350,1,0,0,1,0,0,0,1,2,10,2,1,1,1,2,1,1,clean
BDNA0059,Midnight Escapist,3,3,1,2,10000,2,2,3,3,3,13,3,3,3,3,1,1,1,4,1.0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,3,2,1,1,0,1,0,0,1,0,0,1,2,2,0,0,0,0,0,0,4,1,41,312.0,410,912,0,250,1500,1,0,0,0,1,1,0,4,2,4,2,4,4,5,1,1,1,clean
BDNA0060,Productivity Achiever,3,2,2,2,22500,3,5,2,4,3,9,1,3,3,2,1,2,2,5,2.5,0,0,0,1,0,0,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,4,4,1,1,0,0,0,0,1,0,1,2,3,1,1,0,1,0,0,0,6,4,389,650.0,1271,1618,350,4500,750,1,1,0,0,0,1,0,1,4,5,1,2,4,1,3,0,3,clean
BDNA0061,Productivity Achiever,3,2,1,2,22500,2,4,2,3,3,6,1,2,2,2,4,5,2,4,2.5,0,1,0,0,1,0,3,1,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,3,4,0,0,0,0,1,0,0,1,0,4,1,3,0,0,0,0,0,0,3,4,481,761.0,1315,1690,750,4500,350,1,0,1,0,0,0,0,3,3,10,1,1,5,3,3,0,3,clean
